TARIH;ISLEM  KODU;BULTEN ADI;PAZAR GRUBU;PAZAR;YAPISAL BAZDA PIYASA ALT BOLUMU;ENSTRUMAN GRUBU;ENSTRUMAN TIPI;ENSTRUMAN SINIFI;ISLEM YONTEMI;PIYASA YAPICI;BIST 100 ENDEKS;BIST 30 ENDEKS;BRUT TAKAS;OZSERMAYE HALI;GECICI DURDURMA;ONCEKI KAPANIS FIYATI;ACILIS FIYATI;ACILIS SEANSI FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI;KAPANIS SEANSI FIYATI;DEGISIM (%);BEKLEYEN EN IYI ALIS;BEKLEYEN EN IYI SATIS;A.O.F;TOPLAM ISLEM HACMI;TOPLAM ISLEM ADEDI;TOPLAM SOZLESME SAYISI;REFERANS FIYAT;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI SOZLESME SAYISI;KAPANIS SEANSI ISLEM HACMI;KAPANIS SEANSI ISLEM MIKTARI;KAPANIS SEANSI SOZLESME SAYISI;KAPANIS FIYATINDAN ISLEMLER ISLEM HACMI;KAPANIS FIYATINDAN ISLEMLER ISLEM MIKTARI;KAPANIS FIYATINDAN ISLEMLER SOZLESME SAYISI;EN DUSUK ACIGA SATIS FIYATI;EN YUKSEK ACIGA SATIS FIYATI;ACIGA SATIS A.O.F;ACIGA SATIS ISLEM HACMI;ACIGA SATIS ISLEM ADEDI;ACIGA SATIS SOZLESME SAYISI;OZEL ISLEM BILDIRIMI EN DUSUK FIYAT;OZEL ISLEM BILDIRIMI EN YUKSEK FIYAT;OZEL ISLEM BILDIRIMI A.O.F.;OZEL ISLEM BILDIRIMI ISLEM HACMI;OZEL ISLEM BILDIRIMI ISLEM ADEDI;OZEL ISLEM BILDIRIMI SOZLESME SAYISI;ORTA NOKTA ISLEMLERI ISLEM HACMI;ORTA NOKTA ISLEMLERI ISLEM ADEDI;ORTA NOKTA ISLEMLERI SOZLESME SAYISI;ACIGA SATIS;BIST KATILIM TUM ENDEKS
TRADE DATE;INSTRUMENT SERIES CODE;INSTRUMENT NAME;MARKET SUB SEGMENT;MARKET SEGMENT;MARKET;INSTRUMENT GROUP;INSTRUMENT TYPE;INSTRUMENT CLASS;TRADING METHOD;MARKET MAKER;BIST 100 INDEX;BIST 30 INDEX;GROSS SETTLEMENT;CORPORATE ACTION;SUSPENDED;PREVIOUS LAST PRICE;OPENING PRICE;OPENING SESSION PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;CLOSING SESSION PRICE;CHANGE TO PREVIOUS CLOSING (%);REMAINING BID;REMAINING ASK;VWAP;TOTAL TRADED VALUE;TOTAL TRADED VOLUME;TOTAL NUMBER OF CONTRACTS;REFERENCE PRICE;TRADED VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;NUMBER OF CONTRACTS AT OPENING SESSION;TRADED VALUE AT CLOSING SESSION;TRADED VOLUME AT CLOSING SESSION;NUMBER OF CONTRACTS AT CLOSING SESSION;TRADED VALUE OF TRADES AT CLOSING PRICE;TRADED VOLUME OF TRADES AT CLOSING PRICE;NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE;LOWEST SHORT SALE PRICE;HIGHEST SHORT SALE PRICE;SHORT SALE VWAP;TRADED VALUE OF SHORT SALE TRADES;TRADED VOLUME OF SHORT SALE TRADES;NUMBER OF CONTRACTS OF SHORT SALE TRADES;LOWEST TRADE REPORT PRICE;HIGHEST TRADE REPORT PRICE;TRADE REPORT VWAP;TRADE REPORT TRADED VALUE;TRADE REPORT TRADED VOLUME;NUMBER OF TRADE REPORTS;MIDPOINT TRADED VALUE;MIDPOINT TRADED VOLUME;MIDPOINT NUMBER OF CONTRACTS;SHORT SELL;BIST PARTICIPATION ALL INDEX
2025-05-14;ADEL.E;ADEL KALEMCILIK;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTADEL;SI;0;0;0;0;;0;32.08;32.1;32.1;31.72;35.26;32.98;32.98;2.805;32.96;32.98;33.61;229521800.72;6828922;15917;0;378266.4;11784;37;2120152.28;64286;57;2454206.7;74415;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;ADGYO.E;ADRA GMYO;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTADGYO;SI;0;0;0;0;;0;28.94;29;29;28.5;29.16;28.5;28.5;-1.52;28.5;28.64;28.806;25480545.88;884559;3557;0;17603;607;25;1648554;57844;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AEFES.AOF;ANADOLU EFES AOF;;Z;MSPOT;AOF;MSPOTAOF;MSPOTAOFAEFES;SI;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AEFES.E;ANADOLU EFES;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAEFES;SI;0;1;1;0;;0;168;168;168;163.8;175.4;170.7;170.7;1.607;170.7;170.8;169.771;2470299522.9;14550774;61163;0;10085544;60033;296;20091902.1;117703;171;4218850.5;24715;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AGESA.E;AGESA HAYAT EMEKLILIK;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAGESA;SI;0;0;0;0;;0;148.8;148.8;148.8;147;150.5;148.6;148.6;-0.134;148.6;149.1;148.693;30260312.3;203508;2388;0;112641.6;757;28;528273;3555;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AGHOL.E;ANADOLU GRUBU HOLDING;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAGHOL;SI;0;1;0;0;;0;297;298;298;290.75;300.5;295.5;295.5;-0.505;295.5;296;296.554;314425082;1060262;13000;0;387698;1301;64;4823742;16324;98;4232742;14324;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AGROT.E;AGROTECH TEKNOLOJI;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAGROT;SI;0;1;0;0;;0;8.13;8.14;8.14;8.05;8.24;8.06;8.06;-0.861;8.05;8.06;8.143;151790558.76;18641690;13941;0;383353.3;47095;201;2184147.16;270986;182;743115.88;92198;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AHGAZ.E;AHLATCI DOGALGAZ;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAHGAZ;SI;0;1;0;0;;0;22.78;22.62;22.62;22.22;23.22;23.12;23.12;1.493;23.12;23.16;22.622;161525897.48;7140306;7606;0;575679;25450;76;2882439.76;124673;62;67510.4;2920;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AKBNK.AOF;AKBANK AOF;;Z;MSPOT;AOF;MSPOTAOF;MSPOTAOFAKBNK;SI;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AKBNK.E;AKBANK;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKBNK;SI;0;1;1;0;;0;52.25;52;52;51.65;52.8;51.8;51.8;-0.861;51.8;51.85;52.263;9427510323.25;180394564;61557;0;28821936;554268;362;225899748.2;4360999;549;18332900.6;353917;90;0;0;0;0;0;0;52.1;52.1;52.1;125040000;2400000;1;0;0;0;0;0
2025-05-14;AKCNS.E;AKCANSA;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKCNS;SI;0;0;0;0;;0;159;159.2;159.2;153.8;161.6;157.9;157.9;-0.692;157.3;157.9;156.798;99857869.1;636858;5042;0;1745946.4;10967;63;7116237.2;45068;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025-05-14;AKFGY.E;AKFEN GMYO;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKFGY;SI;0;0;0;0;;0;2.18;2.18;2.18;2.17;2.21;2.19;2.19;0.459;2.18;2.19;2.188;62369373.17;28500264;2331;0;202545.98;92911;71;1766092.65;806435;33;2211.9;1010;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AKFIS.E;AKFEN INSAAT;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKFIS;SI;0;0;0;0;;0;19.69;19.71;19.71;19.66;20;19.72;19.72;0.152;19.72;19.73;19.832;93833187.11;4731323;14592;0;174571.47;8857;48;2513570.36;127463;48;1748710.44;88677;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AKFYE.E;AKFEN YEN. ENERJI;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKFYE;SI;0;0;0;0;;0;17;16.99;16.99;16.74;17.14;16.74;16.74;-1.529;16.73;16.74;16.942;107304178.78;6333707;11551;0;537801.46;31654;121;3804717.42;227283;194;864922.32;51668;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025-05-14;AKGRT.E;AKSIGORTA;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKGRT;SI;0;0;0;0;;0;6.49;6.45;6.45;6.39;6.49;6.39;6.39;-1.541;6.39;6.4;6.434;46916614.76;7292146;3435;0;315346.95;48891;101;252737.28;39552;30;416602.44;65196;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-05-14;AKSA.E;AKSA;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKSA;SI;0;1;0;0;;0;10.41;10.41;10.41;10.17;10.67;10.3;10.3;-1.057;10.29;10.3;10.397;263587708.88;25352793;21793;0;756994.38;72718;374;3773847.9;366393;109;427089.5;41465;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025-05-14;AKSEN.E;AKSA ENERJI;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKSEN;SI;0;1;0;0;;0;34.5;34.48;34.48;33.84;35.16;34.3;34.3;-0.58;34.3;34.32;34.321;133920761.28;3902055;14369;0;1683865.28;48836;154;1567681.5;45705;44;68702.9;2003;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
